name,age,gender,marital_status,cibil_score,monthly_income,employment_type,family_size,dependents,education_level
Erin White,39,Female,Married,330,132719,Salaried,2,0,PhD
Ernest Johnson,51,Female,Married,480,104768,Salaried,3,1,Master
Charles Powell,28,Male,Single,665,161388,Unemployed,5,0,PhD
Mark Jarvis,34,Female,Single,861,55248,Salaried,2,1,PhD
John Morse,39,Female,Single,519,183742,Self-Employed,3,1,Master
Lucas Cline,32,Male,Single,416,131490,Unemployed,4,0,PhD
Tabitha Collins,23,Female,Single,403,107537,Self-Employed,5,1,Master
Mark Smith,48,Female,Single,811,68439,Self-Employed,5,2,Bachelor
Stephanie Garcia,23,Male,Married,348,150721,Self-Employed,1,0,High School
Julie Duke,34,Female,Single,844,42928,Salaried,1,0,High School
Nicholas Schmidt,41,Female,Married,694,110547,Self-Employed,1,0,Master
Jacob Lindsey,28,Female,Married,727,30956,Self-Employed,1,0,Master
Nathan Vega,58,Female,Single,780,137991,Unemployed,1,0,High School
Derrick Vaughan,29,Male,Single,772,198420,Salaried,5,0,PhD
Brett Burgess,34,Male,Married,796,110438,Unemployed,2,0,Bachelor
Natalie Banks,39,Male,Single,511,68920,Salaried,5,3,High School
Brandi Burgess,51,Female,Single,758,28924,Self-Employed,3,2,PhD
Timothy Jacobs,34,Male,Single,743,167996,Unemployed,2,0,PhD
Tracy Hall,40,Male,Single,679,126642,Unemployed,2,1,Master
Paul Randall,54,Female,Single,702,30662,Unemployed,2,1,High School
Jeffrey King,37,Female,Married,617,22692,Unemployed,5,1,High School
Daniel Newman,35,Male,Single,619,179846,Self-Employed,3,0,Bachelor
Kara Singleton,38,Female,Married,345,139552,Self-Employed,2,0,PhD
Kathryn Russell,33,Female,Single,570,52204,Unemployed,5,1,Bachelor
Phillip George,49,Female,Married,508,121480,Unemployed,5,2,Master
Keith Richard,51,Male,Single,671,27569,Salaried,1,0,High School
Sarah Foster,52,Female,Married,640,184512,Self-Employed,6,2,PhD
Julie Cook,48,Male,Single,433,49933,Self-Employed,4,2,PhD
Nathaniel Armstrong,34,Male,Married,600,150893,Salaried,1,0,Bachelor
Bobby Boyer,30,Female,Married,633,16283,Unemployed,4,2,Master
Lindsay Smith,29,Female,Single,784,66899,Salaried,5,0,High School
John Palmer,28,Female,Single,759,99251,Salaried,1,0,Bachelor
Jessica Shaffer,41,Female,Single,355,51280,Unemployed,5,1,Master
Tamara Perez,38,Female,Single,391,95104,Self-Employed,5,1,High School
Megan Obrien MD,57,Male,Single,319,28175,Unemployed,6,5,High School
Shelley Stewart,36,Male,Single,558,117931,Unemployed,6,4,Bachelor
Jared Baker,36,Male,Single,876,118595,Salaried,1,0,High School
Troy Soto,39,Male,Single,387,77523,Self-Employed,4,3,PhD
Kelsey Griffith,33,Female,Married,455,141796,Self-Employed,3,1,Master
Donald Mueller,32,Female,Married,453,91332,Salaried,2,0,Bachelor
Willie Fox,59,Male,Married,844,92406,Salaried,6,5,Master
Alyssa Harris,40,Female,Single,408,48686,Salaried,3,0,Master
Joseph Young,44,Female,Single,537,137535,Unemployed,6,3,Bachelor
Billy Mason,21,Male,Single,629,189635,Self-Employed,4,0,Master
Tracy Williams,48,Female,Married,529,62504,Salaried,3,2,PhD
Miranda Glover,41,Male,Married,685,153283,Unemployed,3,1,PhD
Judy Rice,28,Male,Married,616,189249,Salaried,6,3,Bachelor
Carol Gomez,37,Female,Married,777,63573,Self-Employed,3,0,Bachelor
Carrie Sanders,24,Male,Single,849,76297,Unemployed,5,0,Bachelor
Casey Steele,24,Female,Single,452,142083,Salaried,2,0,PhD
Henry Underwood,60,Male,Married,540,63009,Salaried,5,3,High School
Timothy Hodge,56,Male,Married,734,121800,Unemployed,4,3,Master
Joanne Gill,60,Female,Married,833,54517,Self-Employed,4,1,Bachelor
Reginald Hughes,21,Female,Married,862,48472,Salaried,3,2,High School
Sara Nelson,42,Female,Single,788,75334,Salaried,5,1,PhD
Dustin Kim,44,Female,Married,516,26589,Unemployed,4,0,Master
Katie Wade,46,Female,Single,493,39761,Salaried,2,1,PhD
Alexander Hernandez,33,Male,Single,847,64619,Unemployed,2,0,Bachelor
Kim Allen,44,Female,Single,610,105773,Self-Employed,2,0,PhD
Daniel Thompson,54,Male,Married,564,142858,Self-Employed,2,1,Bachelor
Crystal Shaw,60,Female,Single,528,164955,Unemployed,3,1,High School
Matthew Smith,30,Male,Single,444,85980,Self-Employed,4,0,PhD
Laurie Miller,50,Female,Married,565,145345,Self-Employed,4,1,PhD
Karen Woods,36,Female,Single,595,134675,Salaried,5,4,Master
Cassidy Roberts,23,Female,Married,404,83046,Unemployed,2,0,Bachelor
Rodney Mosley,31,Female,Single,408,96710,Salaried,2,0,PhD
Michael Jordan,55,Male,Married,388,85197,Salaried,6,5,Master
Michael Phelps,60,Male,Married,434,17541,Unemployed,3,1,High School
Martin Nunez,35,Male,Married,431,134996,Unemployed,6,1,Bachelor
Aaron Bell,49,Male,Married,593,116816,Unemployed,1,0,PhD
Timothy Hudson,50,Male,Married,371,21239,Unemployed,2,0,Bachelor
Melanie Martinez,46,Male,Married,409,165748,Salaried,3,2,PhD
Ian Weber,42,Male,Married,574,195010,Unemployed,1,0,High School
George Tucker,30,Female,Married,595,174257,Unemployed,4,2,PhD
Jennifer Mason,37,Female,Single,545,63758,Salaried,6,4,Bachelor
David Smith,26,Female,Single,469,165460,Salaried,2,0,Master
Amy Gomez,50,Male,Married,677,193441,Salaried,6,4,High School
Ryan Ashley,25,Female,Married,494,103500,Salaried,4,2,PhD
Ronald Sanchez,35,Female,Married,352,28665,Self-Employed,6,4,Bachelor
Madeline Davis,58,Female,Married,609,156181,Unemployed,5,0,Master
Tanya Price,48,Female,Single,383,152062,Self-Employed,5,4,PhD
Jackie Reyes,37,Female,Single,611,187846,Self-Employed,6,1,High School
Jason Brown,33,Male,Single,785,47298,Salaried,5,1,PhD
April White,31,Female,Married,836,176249,Unemployed,4,3,Master
Christopher Acevedo,60,Male,Single,775,28932,Unemployed,3,1,Master
Morgan Chavez,40,Female,Married,406,161003,Salaried,2,1,Master
Robert Thomas,23,Male,Single,547,60436,Unemployed,1,0,Master
Charles Mcdaniel,53,Male,Married,315,117029,Unemployed,6,4,Master
Angela Taylor MD,40,Female,Single,376,21455,Salaried,2,1,High School
Amanda Davis,57,Male,Married,447,159252,Self-Employed,5,0,High School
Leslie Weiss,49,Male,Married,795,170942,Salaried,1,0,Bachelor
Jim Green,45,Male,Married,877,36427,Self-Employed,3,0,PhD
Alexis Smith,60,Male,Married,486,91362,Unemployed,4,1,Master
Charles Perez DDS,30,Female,Married,639,173020,Unemployed,2,0,Bachelor
Kayla Gutierrez,35,Male,Married,536,137809,Salaried,2,1,High School
Debra Martinez,57,Female,Single,898,33518,Salaried,6,0,Bachelor
Brandon Lawrence,49,Male,Single,311,111968,Salaried,2,1,Master
James Brewer,56,Male,Married,305,49865,Salaried,3,1,Master
Erin Kennedy,54,Female,Single,890,197267,Salaried,2,1,PhD
Jeffrey James,30,Male,Married,403,115635,Salaried,4,3,High School
Jeffrey Parrish,56,Male,Married,614,24899,Self-Employed,2,0,PhD
Carla Williams,40,Female,Single,464,119410,Self-Employed,2,1,Master
Laura Christensen,33,Male,Single,486,96592,Self-Employed,5,2,Master
Dr. Derek Dunn,31,Male,Single,361,65536,Unemployed,5,4,PhD
Tanya Colon,26,Male,Married,520,119217,Unemployed,3,1,PhD
Susan Ramirez,51,Female,Single,836,70518,Self-Employed,2,1,High School
Lacey Porter,44,Female,Married,824,45331,Salaried,1,0,High School
Terry Summers,53,Female,Single,327,140960,Self-Employed,2,1,Bachelor
Suzanne White,35,Male,Single,406,57473,Unemployed,5,3,Master
Shannon Watson,35,Male,Married,331,173171,Unemployed,4,3,Bachelor
Scott Herrera,27,Female,Single,591,34132,Unemployed,3,2,Bachelor
Kevin Simmons,30,Male,Single,436,155334,Salaried,6,1,Master
Shawn Rice,22,Male,Married,654,19437,Salaried,6,0,High School
Anthony Ball,32,Female,Married,634,92946,Unemployed,4,0,Master
Jessica Martinez,33,Female,Married,592,68571,Self-Employed,1,0,Bachelor
Zachary Collins,21,Female,Married,836,140363,Unemployed,5,0,PhD
Susan Jones,22,Male,Single,733,192015,Self-Employed,5,3,PhD
Heather Wilson,43,Female,Single,393,72463,Unemployed,6,2,High School
Robert Page,45,Female,Married,807,169784,Self-Employed,5,1,Bachelor
Christopher Smith,60,Female,Single,496,129257,Unemployed,4,2,High School
Travis Meza,47,Male,Single,303,162931,Salaried,2,1,Master
Ryan Mccoy,25,Male,Married,386,37211,Self-Employed,5,0,Master
Stacey Chavez MD,56,Female,Single,482,42437,Unemployed,5,2,High School
Amy Ho,59,Female,Married,696,110250,Self-Employed,3,2,Bachelor
Haley Jackson,27,Male,Single,570,44061,Self-Employed,2,1,PhD
Kevin Gonzalez,35,Male,Single,795,55420,Self-Employed,1,0,High School
Michael Turner,48,Male,Single,395,142023,Self-Employed,4,1,PhD
Stephen Conner,36,Female,Married,716,145572,Self-Employed,6,5,High School
Michael Brooks,41,Male,Married,327,194212,Salaried,3,1,Master
Roberta Foster,45,Female,Single,625,117798,Salaried,2,1,Bachelor
Kathryn Nguyen,52,Female,Single,751,20546,Salaried,3,1,PhD
Yolanda Woods,41,Male,Single,574,43828,Salaried,5,1,High School
Daniel Rhodes,33,Male,Married,388,27036,Salaried,6,5,PhD
Dawn Glover,35,Male,Married,759,91678,Self-Employed,6,0,Bachelor
Luis Austin Jr.,24,Female,Married,886,133947,Self-Employed,2,0,High School
Richard Perez,33,Male,Married,454,94116,Salaried,5,0,High School
Jennifer Duffy,22,Female,Single,425,154043,Salaried,3,0,High School
John Harrison,46,Female,Married,648,181838,Unemployed,2,1,PhD
Steven Brown,29,Female,Married,706,92484,Unemployed,2,1,High School
Janet Rogers,55,Female,Single,843,86332,Self-Employed,5,2,High School
Isaac Zimmerman,54,Female,Married,678,112778,Self-Employed,2,1,High School
Michelle Carlson,38,Female,Married,735,78553,Unemployed,1,0,Master
Stephen Mcgrath,28,Female,Single,321,64353,Salaried,2,1,Bachelor
Robert Rivera,53,Female,Married,392,165691,Self-Employed,3,2,High School
Anthony Butler,41,Female,Married,658,48875,Self-Employed,6,3,High School
Pamela Delacruz MD,49,Male,Single,858,187848,Self-Employed,2,1,High School
Brett Williams,49,Female,Married,478,43010,Salaried,3,0,High School
Sabrina Ross,56,Female,Married,840,144320,Salaried,5,0,Bachelor
Sara Roberts,39,Male,Married,682,172282,Salaried,6,0,Master
Lauren Brown,24,Male,Married,471,24589,Salaried,4,1,Master
Mackenzie Peterson,42,Male,Single,657,25683,Unemployed,1,0,High School
Bryce Smith,29,Female,Single,796,63583,Self-Employed,1,0,Bachelor
Melissa Alvarez,36,Male,Married,451,87905,Salaried,1,0,High School
Valerie Chavez,29,Male,Married,693,141808,Salaried,1,0,Bachelor
Stephen Vega,52,Male,Single,416,84667,Self-Employed,6,2,High School
Ralph Chapman,23,Male,Married,571,181581,Self-Employed,1,0,Master
Robert Lee,58,Female,Married,451,160979,Salaried,4,0,High School
Jenny Perez,40,Female,Single,502,31056,Self-Employed,3,2,PhD
Maria Gilbert,38,Female,Married,566,75637,Salaried,1,0,Master
Carolyn York,35,Male,Married,840,173176,Salaried,6,5,PhD
Arthur Harris,51,Female,Married,748,158382,Unemployed,1,0,Bachelor
Patty Weber,23,Male,Single,756,115451,Unemployed,1,0,Bachelor
Christopher Roach,48,Female,Married,813,132240,Unemployed,4,0,Bachelor
Tina May,43,Female,Married,371,94342,Unemployed,5,2,Bachelor
Brian Perez,55,Female,Single,347,116233,Unemployed,4,1,Bachelor
Lindsay Smith,36,Male,Single,395,106923,Self-Employed,6,2,Bachelor
Kimberly Griffin,42,Male,Married,838,157998,Salaried,3,1,PhD
Anthony Ramos,60,Male,Single,411,172384,Unemployed,6,1,Bachelor
Shawn Warren,26,Female,Single,715,124488,Unemployed,3,2,Bachelor
James Taylor,23,Female,Married,669,151573,Salaried,6,1,High School
Amy Cole,33,Male,Single,730,30042,Unemployed,2,0,Master
Kimberly Peterson,40,Female,Single,667,166980,Unemployed,1,0,PhD
William Shea,57,Male,Single,543,84351,Salaried,5,4,Master
Katie Hester,27,Male,Single,516,131430,Salaried,3,1,High School
Brian Dean,44,Female,Single,529,98447,Unemployed,5,0,Master
Jason White,52,Female,Single,564,142054,Unemployed,4,3,Master
Larry White,37,Male,Single,811,170562,Unemployed,6,1,Master
Jose Galloway,32,Male,Single,837,88936,Unemployed,3,1,Master
Shane Carr,23,Male,Married,576,21242,Unemployed,1,0,High School
Carlos Davis,38,Male,Single,540,128740,Salaried,1,0,Bachelor
James Chambers,23,Male,Single,549,116918,Unemployed,3,2,PhD
Gabriel Weaver,24,Male,Single,859,35882,Unemployed,4,3,Bachelor
Kimberly Butler,40,Male,Married,414,84803,Salaried,4,1,PhD
David Wright,33,Male,Married,531,185562,Self-Employed,4,0,High School
Todd Zuniga,44,Male,Single,546,173402,Salaried,5,3,Master
Jacob Barr,56,Male,Married,631,71733,Salaried,4,3,PhD
Samantha Williams,37,Male,Married,433,195922,Salaried,5,4,Bachelor
Spencer Reynolds,26,Female,Single,888,124291,Salaried,4,3,Bachelor
Robert Nguyen,34,Male,Married,312,105005,Salaried,2,0,Master
Eric Howard,55,Female,Single,447,175558,Salaried,5,4,PhD
Rebecca Anthony,35,Female,Single,626,153098,Self-Employed,4,3,Master
Nicholas Fowler,55,Male,Single,553,118370,Unemployed,5,2,PhD
Samuel Sanders,26,Female,Married,735,142949,Salaried,3,1,High School
Carla Johnson,37,Male,Single,798,192885,Unemployed,2,1,Master
Betty Jones,55,Male,Married,727,36827,Unemployed,2,1,High School
Matthew Perez,45,Male,Single,412,148169,Self-Employed,1,0,High School
Megan Barber,21,Female,Married,795,86555,Salaried,2,0,PhD
Catherine Padilla,46,Male,Single,510,49434,Self-Employed,1,0,Master
Mark Shaw,40,Male,Married,363,77331,Unemployed,5,4,Bachelor
Michael Gutierrez,51,Male,Married,638,163716,Salaried,3,0,PhD
David Bentley,47,Female,Married,833,65510,Salaried,4,2,Bachelor
Anthony Martin,60,Female,Single,840,35236,Salaried,1,0,PhD
Chase Webster,57,Female,Married,710,52692,Unemployed,1,0,Master
Brandon Greer,44,Female,Married,579,136490,Self-Employed,2,0,Bachelor
Angela Bates,46,Male,Married,776,46119,Self-Employed,5,1,Bachelor
Carolyn Bridges,54,Male,Married,715,75076,Unemployed,6,5,Master
Randy Jones,35,Male,Single,458,135094,Unemployed,6,0,High School
Amanda Short,21,Male,Married,447,149985,Salaried,2,0,Master
Melissa Li,35,Female,Married,818,45220,Salaried,6,3,PhD
Audrey Fuentes,60,Female,Married,622,108275,Salaried,3,2,Master
Dana Neal,26,Female,Single,426,32167,Unemployed,2,0,Bachelor
Christine Lee,39,Female,Married,843,153654,Salaried,2,0,Bachelor
Antonio Mccormick,48,Male,Single,362,91932,Unemployed,3,1,PhD
Eric Gould,55,Male,Married,312,91116,Self-Employed,3,1,High School
Robert Rodriguez,55,Female,Single,841,18521,Self-Employed,5,3,PhD
Melissa Conner,57,Female,Married,441,133621,Self-Employed,1,0,Master
Bryan Smith,41,Male,Married,673,55323,Self-Employed,4,2,Bachelor
Leslie Harris,46,Male,Single,702,40969,Unemployed,5,3,High School
Cheryl Hicks,44,Female,Single,363,162644,Salaried,3,2,PhD
Laurie Richardson,41,Female,Married,770,50903,Unemployed,3,0,High School
Mariah Garrett,28,Male,Married,629,30192,Self-Employed,5,2,Master
Catherine Cuevas,41,Male,Single,442,165847,Salaried,3,1,Master
Suzanne Lam,47,Female,Married,721,121162,Self-Employed,4,2,PhD
Jeremy Smith,56,Female,Married,690,167221,Salaried,4,3,High School
Amy Burke,25,Female,Single,602,66535,Salaried,3,2,Master
Spencer Riley,22,Male,Married,569,117368,Unemployed,4,1,Master
Brendan Peterson,29,Female,Married,540,137712,Unemployed,6,4,High School
John Beck,45,Female,Single,583,159111,Salaried,2,0,Bachelor
Elizabeth Holloway,30,Male,Single,370,37882,Self-Employed,5,3,Master
Curtis Johnson,38,Female,Single,710,42496,Self-Employed,4,0,High School
Chelsea Lyons,47,Female,Married,745,88775,Salaried,2,0,Bachelor
Sarah Freeman,37,Female,Single,489,55613,Self-Employed,5,0,PhD
Amanda Richards,34,Male,Married,470,31133,Unemployed,5,1,High School
Darryl Boyd,26,Male,Married,900,146635,Salaried,3,0,Bachelor
Karen Williams,33,Male,Married,309,21235,Unemployed,6,5,Bachelor
Philip Ross,60,Male,Single,886,110728,Self-Employed,1,0,High School
John Ramos,25,Male,Married,873,104080,Salaried,6,0,High School
Luke Huerta,59,Female,Single,724,69287,Salaried,3,0,Bachelor
Dylan Hansen,33,Female,Single,837,21011,Salaried,1,0,Bachelor
Tara Carlson,60,Female,Single,722,44435,Unemployed,2,0,Bachelor
Billy Hampton,56,Male,Married,581,62124,Self-Employed,6,0,High School
William Russell,34,Male,Married,511,117650,Salaried,4,0,Bachelor
Joshua Morales,40,Male,Single,898,184334,Self-Employed,2,0,High School
Lonnie Adams,24,Male,Single,312,157450,Salaried,1,0,PhD
Michael Perry,40,Male,Married,341,32631,Self-Employed,4,1,High School
Jordan Anderson,26,Female,Single,452,110011,Salaried,5,2,High School
Michele Mcgee,60,Female,Married,741,151017,Salaried,5,2,Bachelor
Steven Erickson,22,Male,Single,770,129080,Self-Employed,3,1,High School
Miguel Duke,45,Male,Married,881,87853,Self-Employed,3,1,Bachelor
Cameron Perry,46,Male,Married,667,122709,Salaried,1,0,Bachelor
Dennis Graham,37,Male,Single,786,160252,Salaried,4,0,High School
Jonathan Ellis,22,Male,Married,894,155700,Salaried,1,0,High School
Michelle Kim,59,Female,Single,660,129052,Self-Employed,3,1,High School
Michelle Huff,33,Male,Single,849,111515,Unemployed,1,0,PhD
Taylor Smith,51,Female,Married,642,93618,Self-Employed,2,0,PhD
Brandy Collins,42,Female,Single,821,60233,Salaried,4,0,High School
Amy Lee,45,Male,Married,596,189922,Salaried,5,2,Bachelor
Jacqueline Cole,22,Female,Single,667,137093,Unemployed,1,0,Master
Jonathan Wood,51,Female,Single,862,67380,Salaried,3,2,Bachelor
Marissa Thornton,47,Female,Single,313,184491,Salaried,2,0,PhD
Frank Taylor,25,Male,Married,559,79238,Unemployed,2,0,PhD
Michele Jones,22,Male,Single,641,166336,Unemployed,3,0,High School
Logan Martinez,54,Female,Married,493,74970,Unemployed,2,1,PhD
Jeff Porter,47,Female,Single,807,77946,Unemployed,5,0,PhD
Juan Benjamin,32,Female,Married,679,150168,Self-Employed,1,0,High School
Caroline Scott,52,Male,Single,886,125165,Unemployed,4,0,Bachelor
Cynthia Riggs,36,Female,Single,592,43509,Unemployed,5,2,Master
Denise Brown,45,Male,Single,623,89129,Self-Employed,1,0,Bachelor
Loretta Davis,56,Female,Single,851,92576,Salaried,1,0,Master
Mariah Alexander,24,Male,Single,369,19917,Salaried,1,0,High School
Kimberly Velazquez,47,Male,Single,596,181506,Salaried,5,2,Bachelor
Virginia Anderson,22,Female,Single,871,138322,Salaried,4,1,PhD
Ms. Alexis Gallagher,31,Female,Married,833,70722,Unemployed,5,4,PhD
Daniel Petersen,27,Male,Single,396,121779,Self-Employed,2,0,PhD
Christopher Lowe,27,Male,Single,325,117554,Salaried,3,1,Bachelor
Phyllis Vazquez,36,Female,Married,315,103107,Unemployed,3,2,High School
Peter White,36,Female,Married,880,167409,Salaried,4,3,Bachelor
Garrett Wilson,28,Male,Married,765,84051,Unemployed,2,1,Master
James Perkins,28,Male,Married,539,70063,Self-Employed,3,1,Bachelor
Adam Holmes,58,Female,Married,433,120359,Self-Employed,6,2,PhD
Justin Smith,42,Male,Single,462,132892,Salaried,5,3,Master
Mackenzie Howard,47,Male,Married,363,197023,Self-Employed,4,3,Master
Nicholas Pope,35,Male,Married,396,85951,Unemployed,4,0,PhD
Eric Dudley,33,Female,Single,372,129340,Self-Employed,2,0,PhD
Patricia Chan,44,Male,Married,480,25366,Self-Employed,4,0,Bachelor
Mary Lee,60,Male,Married,577,182707,Unemployed,6,3,Bachelor
Ryan Riddle,55,Male,Married,351,83254,Self-Employed,3,0,Master
Michael Taylor,51,Female,Married,667,20968,Unemployed,1,0,High School
Amanda Moore,25,Male,Single,403,38572,Unemployed,2,1,High School
David Smith,56,Female,Married,702,131240,Self-Employed,1,0,Bachelor
Alexandra Valdez,45,Male,Single,638,159368,Self-Employed,3,1,Master
Kathleen Jones,49,Male,Single,546,187839,Self-Employed,4,0,PhD
Danny Goodwin,58,Female,Married,303,178995,Salaried,6,1,High School
Tracy Rogers,21,Female,Single,790,84752,Unemployed,6,1,High School
Michael Johnson,55,Male,Married,800,26102,Unemployed,2,1,Bachelor
Raymond Wilson,51,Male,Single,533,190526,Unemployed,2,1,PhD
Amanda Spears,33,Female,Married,467,168704,Salaried,1,0,High School
Dawn Harper,26,Male,Married,833,48765,Salaried,3,0,Master
Carol Silva,39,Female,Married,844,83757,Salaried,1,0,PhD
Roy Robbins,49,Male,Married,645,66722,Unemployed,2,0,PhD
Justin Smith,38,Female,Married,373,71335,Unemployed,1,0,Master
Chloe Romero,21,Male,Married,337,28876,Self-Employed,3,2,PhD
Kaitlyn Jackson,51,Female,Single,530,146032,Unemployed,2,0,High School
Alexis Dodson,23,Female,Single,578,185910,Self-Employed,2,1,Bachelor
Tyler Hughes,39,Female,Married,739,40904,Salaried,4,2,Bachelor
Meagan Livingston DDS,56,Male,Single,727,111167,Unemployed,1,0,Master
Rachel Howard,53,Male,Single,350,128304,Unemployed,2,1,High School
Theresa Benjamin,46,Male,Married,848,192509,Salaried,5,3,Bachelor
Patricia Smith DVM,43,Female,Married,479,196481,Unemployed,5,1,High School
Elaine Arnold,46,Male,Single,370,115378,Unemployed,4,1,Master
Antonio Ortega,38,Female,Single,516,89572,Unemployed,4,0,PhD
Mr. Julian Griffin,48,Female,Single,864,164309,Unemployed,4,3,PhD
Kristy Andrade,21,Female,Single,700,193951,Unemployed,5,4,Bachelor
Mary Nunez,55,Male,Married,312,136619,Self-Employed,4,1,High School
Erika Cox,59,Female,Single,341,170942,Unemployed,4,1,High School
Brianna Wilson,50,Female,Married,879,109589,Salaried,1,0,PhD
Colleen Lee,30,Male,Single,632,165755,Salaried,6,3,High School
Alisha Warren,39,Male,Single,430,126071,Self-Employed,3,1,High School
Kimberly Price,36,Female,Married,749,27503,Unemployed,6,5,Bachelor
Brandon Murphy,56,Female,Single,678,94474,Self-Employed,5,4,Bachelor
Carol Stewart,50,Female,Married,301,46726,Unemployed,2,1,PhD
Jessica Rhodes,29,Male,Married,527,65621,Self-Employed,3,1,High School
Matthew Garcia,51,Male,Married,840,126160,Self-Employed,6,2,Master
Kathleen Chapman,52,Male,Single,504,100307,Self-Employed,3,1,PhD
Michael Richards,51,Female,Single,395,85854,Unemployed,1,0,PhD
Jamie Mueller,39,Female,Single,540,36269,Self-Employed,3,1,High School
Nicole Anderson,41,Female,Single,800,126439,Unemployed,6,0,High School
David Lewis,41,Male,Single,634,148685,Salaried,4,3,High School
Ian Harper,55,Male,Single,548,177467,Salaried,5,1,Master
Bryan Hunter,28,Female,Single,824,133396,Self-Employed,2,0,PhD
Casey Anderson,49,Female,Married,591,67812,Self-Employed,5,3,High School
Shawn Hunter,56,Female,Single,878,189811,Salaried,5,3,Bachelor
Scott Collier,22,Male,Married,799,156356,Salaried,4,3,High School
Sean Pruitt,34,Male,Married,588,167372,Salaried,5,2,High School
Jonathan Chavez,46,Male,Single,813,81727,Unemployed,5,3,High School
Laura Garcia,37,Female,Single,351,40819,Unemployed,6,5,Master
Tracy Jordan,51,Female,Married,575,139295,Self-Employed,5,4,Bachelor
Anna Miller,48,Female,Married,758,130628,Salaried,4,0,High School
Gregory Ho,43,Male,Single,558,167985,Self-Employed,2,0,PhD
Deanna Kelley,59,Female,Single,624,98527,Unemployed,2,1,Bachelor
Joshua Woods,49,Male,Married,750,186443,Salaried,2,1,Bachelor
David Anderson,43,Female,Married,667,66766,Unemployed,1,0,PhD
Lisa Thomas,43,Female,Single,806,39881,Self-Employed,2,1,Bachelor
Jimmy York,36,Female,Married,435,122067,Unemployed,6,0,Master
Brady Gomez,26,Female,Married,441,74726,Self-Employed,5,2,PhD
Mrs. Sandra Cooke,51,Female,Married,348,63971,Unemployed,2,0,High School
Marco Hansen,32,Female,Married,347,124760,Self-Employed,2,1,Master
Mark Rodriguez,30,Male,Single,399,186796,Self-Employed,4,0,Bachelor
Walter Campbell,53,Female,Single,635,42493,Salaried,4,3,High School
Kara Morales,49,Female,Single,686,95667,Salaried,3,2,PhD
Caitlin Gonzalez,52,Female,Single,694,67211,Unemployed,2,1,PhD
Rebecca Ramos,41,Female,Married,779,107348,Self-Employed,2,1,Master
Jeffrey Meyers,30,Female,Married,568,90221,Self-Employed,1,0,PhD
Barry Harper,45,Male,Married,627,136431,Unemployed,3,0,PhD
Nathan Olsen,56,Female,Married,581,126050,Self-Employed,5,0,Bachelor
Robert Perez,54,Female,Single,348,61224,Self-Employed,1,0,High School
Kelly Young,24,Female,Single,395,123299,Self-Employed,1,0,High School
Luke King,46,Male,Single,782,138043,Self-Employed,1,0,Master
Mark Stephenson,32,Female,Married,346,196269,Self-Employed,3,1,Master
Anthony Harris,42,Female,Married,765,28888,Salaried,4,2,Master
Kevin Madden,53,Male,Single,800,52132,Unemployed,3,0,High School
Ronald Hall,46,Male,Single,671,68900,Salaried,4,1,High School
Michael Osborne,36,Female,Married,342,28232,Salaried,1,0,Master
Jaclyn Welch,30,Male,Married,321,126250,Self-Employed,6,2,Master
Charles Smith,22,Female,Single,438,56125,Self-Employed,3,1,Master
Thomas Franklin,48,Male,Single,360,145874,Salaried,5,2,PhD
Ryan Townsend,60,Female,Single,842,37470,Unemployed,6,2,PhD
Edwin Travis,30,Female,Single,650,17012,Unemployed,1,0,High School
Daniel Powers,53,Male,Single,751,143574,Unemployed,1,0,High School
Debbie Chan,33,Male,Single,321,199623,Unemployed,2,0,High School
Peggy Robertson,52,Female,Single,891,43054,Unemployed,4,2,Master
Elizabeth Wilson,59,Male,Married,811,81706,Self-Employed,2,0,PhD
Courtney Forbes,52,Male,Single,498,49999,Unemployed,5,4,High School
Maria Lang,44,Male,Married,500,27566,Self-Employed,1,0,High School
Aaron Stewart,52,Male,Married,642,139024,Self-Employed,3,0,Master
Christine Payne,22,Male,Single,642,121944,Self-Employed,6,1,High School
Patrick Santiago,35,Female,Married,587,83273,Self-Employed,2,0,High School
Heidi Howard,48,Male,Married,774,187163,Self-Employed,5,3,PhD
Allison Peters,30,Male,Single,579,66970,Salaried,4,2,Bachelor
Barbara White,49,Male,Married,691,155479,Unemployed,1,0,PhD
Christopher Reynolds,31,Female,Single,895,41480,Self-Employed,2,1,Bachelor
Andrea Romero,43,Female,Married,592,150938,Unemployed,4,2,Bachelor
Katie Romero,42,Female,Single,367,81174,Unemployed,1,0,Bachelor
Michelle Savage,41,Female,Married,585,45533,Salaried,3,1,PhD
Kenneth Boyd,44,Female,Married,319,140252,Self-Employed,6,1,High School
Tracy Lutz,39,Female,Single,328,143346,Self-Employed,3,0,Bachelor
Teresa Clark,32,Female,Married,525,139167,Self-Employed,1,0,Master
Brandon Kramer,25,Male,Married,641,52134,Self-Employed,4,3,Master
Leonard James,27,Male,Married,856,86342,Unemployed,6,2,High School
Mathew Freeman,25,Male,Married,620,125671,Unemployed,3,2,PhD
Michael Lee,39,Female,Married,494,71428,Salaried,4,2,PhD
Kenneth Burke PhD,55,Male,Single,809,182220,Self-Employed,5,0,PhD
Zachary Vazquez,43,Male,Single,572,92892,Self-Employed,1,0,Master
Jeffrey Powell,28,Female,Single,558,151552,Unemployed,4,0,PhD
Stacey Morris,37,Male,Single,700,130136,Unemployed,6,0,Bachelor
